i_atoms X_clmds Y_clmds C M sparse
0 0.006259 -0.053286 1 0 0
2 0.006262 -0.053286 1 0 0
3 0.006269 -0.053286 1 0 0
4 0.006265 -0.053286 1 0 0
5 0.011648 -0.054809 1 0 0
7 0.011657 -0.054809 1 0 0
8 0.011662 -0.054809 1 0 0
12 0.008327 -0.054535 1 0 0
14 0.008198 -0.054506 1 0 1
15 0.008320 -0.054535 1 0 0
18 0.007569 -0.053552 1 0 0
20 0.014550 -0.053539 1 0 0
21 0.014548 -0.053539 1 0 0
28 0.014927 -0.052480 1 0 0
29 0.021808 -0.050881 8 0 0
30 0.019532 -0.051696 8 0 0
38 0.014479 -0.052917 1 0 0
39 0.022476 -0.050850 8 0 0
40 0.014488 -0.052914 1 0 0
47 0.015430 -0.052459 8 0 0
48 0.020065 -0.051300 8 0 0
49 0.015543 -0.052441 8 0 1
55 -0.013875 -0.019141 2 0 0
67 -0.013363 -0.017282 2 0 0
78 -0.013670 -0.018114 2 0 0
89 0.002725 0.005228 9 0 1
99 -0.013414 -0.016897 2 0 0
109 0.003793 0.004238 9 0 0
120 0.012329 0.036607 0 0 0
130 0.002740 0.005258 9 0 0
140 0.002216 0.006246 9 0 0
150 0.010986 0.037807 0 0 1
159 0.001678 0.006986 9 0 0
168 0.001385 0.007435 9 0 0
177 0.001378 0.011135 7 0 1
185 0.011477 0.037289 0 0 0
194 0.010348 0.038259 0 0 0
206 0.012799 -0.054819 1 0 0
207 0.012835 -0.054840 1 0 1
208 0.012786 -0.054822 1 0 0
212 0.014755 -0.052997 1 0 0
214 0.014760 -0.052996 1 0 0
215 0.020987 -0.050992 8 0 0
222 0.013736 -0.052990 1 0 0
224 0.013738 -0.052990 1 0 0
225 0.017173 -0.051512 8 0 0
231 0.019933 -0.051414 8 0 1
233 0.015339 -0.053461 1 0 0
234 0.018028 -0.051777 1 0 0
245 0.017033 -0.052147 8 0 0
246 0.016903 -0.051839 8 0 0
247 0.017000 -0.052146 8 0 1
257 0.016961 -0.052103 8 0 0
258 0.020029 -0.051336 8 0 0
259 0.016961 -0.052103 8 0 0
271 0.014987 -0.052527 1 0 0
272 0.020502 -0.051095 8 0 0
273 0.025065 -0.050331 8 0 0
284 0.014197 -0.053012 1 0 0
285 0.021964 -0.051045 8 0 1
286 0.014194 -0.053012 1 0 0
296 0.016457 -0.053174 1 0 0
297 0.016461 -0.053172 1 0 0
298 0.007503 -0.053477 1 0 0
306 0.007724 -0.053703 1 0 0
307 0.012015 -0.054339 1 0 0
308 0.031752 -0.048579 8 0 0
316 0.021452 -0.050990 8 0 0
317 0.021451 -0.050990 8 0 0
318 0.019085 -0.052320 1 0 0
330 0.020978 -0.051118 8 1 1
331 0.015962 -0.051942 1 0 1
332 0.021245 -0.051368 8 0 1
343 0.014563 -0.052338 8 0 0
344 0.015443 -0.052180 1 0 0
345 0.026036 -0.050081 8 0 0
351 0.023794 -0.050620 8 0 1
353 0.016204 -0.053538 1 0 0
354 0.016203 -0.053538 1 0 0
363 0.030664 -0.048920 8 0 1
365 0.015715 -0.053325 1 0 0
366 0.014522 -0.053646 1 0 1
374 0.017408 -0.051705 1 0 0
376 0.013980 -0.053644 1 0 0
377 0.016125 -0.053493 1 0 0
391 0.011534 0.007934 4 0 0
405 -0.031691 -0.002783 5 0 0
419 -0.013571 -0.016717 2 0 0
433 -0.013321 -0.015907 2 0 0
445 0.009645 0.008977 4 0 1
459 0.001762 0.013668 7 0 0
468 0.017058 -0.052152 8 0 0
469 0.018820 -0.051408 8 0 0
470 0.014880 -0.053192 1 0 1
479 -0.032020 -0.002695 5 0 0
491 0.009588 0.009175 4 0 0
503 -0.032175 -0.002436 5 0 0
514 0.011770 0.008158 4 0 0
526 -0.032462 -0.002544 5 0 0
537 -0.032818 -0.002167 5 0 0
547 0.020934 0.029357 11 0 0
559 -0.024996 0.022518 3 0 0
570 0.020630 0.029543 11 0 0
581 -0.025929 0.023144 3 0 0
591 -0.025177 0.022776 3 0 0
601 -0.026118 0.023634 3 0 0
610 0.002799 0.006038 9 0 0
622 -0.013116 -0.016818 2 0 0
634 0.001899 0.007169 9 0 0
645 -0.013203 -0.017582 2 0 0
657 0.002661 0.006678 9 0 0
668 -0.012779 -0.016331 2 0 0
679 0.001861 0.007735 9 0 0
689 0.003153 0.005545 9 0 1
701 0.011624 0.037062 0 0 0
712 0.002126 0.006993 9 0 0
723 0.010873 0.037302 0 0 1
733 0.003044 0.005873 9 0 1
744 0.011481 0.037083 0 0 0
754 0.001963 0.007655 9 0 0
764 0.010575 0.037810 0 0 0
779 -0.013938 -0.019378 2 0 0
794 0.003882 0.003904 9 0 0
808 0.004033 0.004041 9 0 0
822 0.012747 0.036127 0 0 0
835 -0.013752 -0.018347 2 0 0
849 0.002900 0.004910 9 0 1
862 -0.013420 -0.017553 2 0 0
876 0.002436 0.005733 9 0 0
889 0.002619 0.005906 9 0 0
902 0.011509 0.037220 0 0 1
912 0.004353 0.003693 9 0 0
927 -0.013930 -0.019424 2 0 0
941 0.003814 0.003901 9 0 0
954 -0.013761 -0.018413 2 0 0
967 0.002873 0.004840 9 0 0
977 0.013043 0.035771 0 0 0
991 -0.013469 -0.017776 2 0 0
1004 0.002540 0.005593 9 0 0
1016 0.003087 0.005399 9 0 1
1028 0.011727 0.037141 0 0 0
1039 -0.013821 -0.019093 2 0 0
1046 -0.013677 -0.018495 2 0 0
1052 -0.013677 -0.018495 2 0 0
1064 -0.013635 -0.018071 2 0 0
1070 -0.013478 -0.017473 2 0 0
1074 -0.013481 -0.017470 2 0 1
1085 0.003984 0.004251 9 0 1
1099 -0.013258 -0.017107 2 0 0
1105 -0.013095 -0.016670 2 0 0
1109 0.003287 0.004818 9 0 0
1122 0.002237 0.006420 9 0 0
1127 0.001750 0.007224 9 0 0
1131 0.001750 0.007224 9 0 0
1141 0.003361 0.004763 9 0 0
1149 0.003079 0.005429 9 0 0
1155 0.003079 0.005429 9 0 0
1164 0.002308 0.005800 9 0 0
1171 0.002004 0.006590 9 0 0
1177 0.002004 0.006590 9 0 0
1185 0.012296 0.036622 0 0 0
1198 0.002074 0.006738 9 0 0
1203 0.001682 0.007469 9 0 0
1207 0.011785 0.037105 0 0 0
1219 0.011214 0.037469 0 0 0
1223 0.010452 0.038192 0 0 0
1229 0.010452 0.038192 0 0 0
1232 -0.031902 -0.002718 5 0 0
1244 0.010204 0.009103 4 0 0
1256 -0.032184 -0.002639 5 0 0
1267 0.009353 0.009973 4 0 0
1279 -0.032855 -0.002259 5 0 0
1290 -0.033022 -0.002210 5 0 0
1300 0.009105 0.009773 4 0 1
1312 -0.032010 -0.002515 5 0 0
1323 0.009128 0.009651 4 0 0
1334 -0.032340 -0.002348 5 0 0
1344 0.020667 0.029975 11 0 0
1356 -0.025195 0.022909 3 0 0
1367 0.020290 0.030586 11 0 0
1378 -0.025414 0.023330 3 0 0
1388 0.019822 0.031581 11 0 0
1399 -0.025928 0.023919 3 0 0
1409 -0.018187 0.022845 10 0 0
1423 -0.013940 -0.019092 2 0 0
1438 0.003791 0.003916 9 0 0
1452 0.002865 0.004848 9 0 0
1465 0.012624 0.036358 0 0 0
1478 -0.013813 -0.018286 2 0 0
1492 -0.013613 -0.017225 2 0 0
1505 0.002866 0.004824 9 0 1
1518 -0.014311 -0.019718 2 0 0
1532 0.003794 0.002917 9 0 0
1545 0.003368 0.003747 9 0 1
1557 0.013176 0.035657 0 0 0
1569 -0.014172 -0.018905 2 0 0
1582 -0.014072 -0.018110 2 0 0
1594 -0.014146 -0.019454 2 0 0
1602 -0.013883 -0.019028 2 0 0
1607 -0.013883 -0.019028 2 0 0
1619 0.003819 0.003362 9 0 0
1631 -0.013967 -0.018525 2 0 0
1638 -0.013691 -0.018000 2 0 0
1643 0.003623 0.004354 9 0 0
1654 0.003019 0.004376 9 0 1
1660 0.002455 0.005518 9 0 0
1665 0.002455 0.005518 9 0 0
1675 0.012802 0.036312 0 0 0
1686 -0.013775 -0.017471 2 0 0
1692 -0.013432 -0.016792 2 0 1
1697 0.012232 0.036740 0 0 0
1702 0.003094 0.003294 9 0 0
1714 -0.014133 -0.018127 2 0 0
1726 -0.014058 -0.018576 2 0 0
1738 0.002906 0.003821 9 0 0
1749 -0.013908 -0.017709 2 0 1
1760 -0.013955 -0.018008 2 0 0
1772 0.002313 0.004474 9 0 0
1783 -0.013806 -0.017122 2 0 0
1794 -0.013837 -0.017811 2 0 0
1805 0.002071 0.004967 9 0 0
1815 -0.013632 -0.016887 2 0 0
1832 -0.014414 -0.019358 2 0 0
1847 0.003247 0.002548 9 0 0
1861 -0.014272 -0.018496 2 0 0
1875 -0.013957 -0.017576 2 0 0
1889 0.001792 0.004165 9 0 0
1902 -0.014276 -0.018407 2 0 0
1916 0.002328 0.003306 9 0 0
1929 -0.014023 -0.017364 2 0 1
1942 -0.012738 -0.022413 2 0 1
1956 0.011606 0.004386 4 0 0
1969 -0.013373 -0.022078 2 0 0
1982 -0.013285 -0.021104 2 0 0
1995 0.009388 0.006367 4 0 1
2007 -0.013677 -0.021583 2 0 0
2020 0.009020 0.005923 4 0 1
2032 -0.013974 -0.020856 2 0 0
2044 -0.013844 -0.024929 2 0 0
2050 -0.013841 -0.016812 2 0 0
2057 -0.013841 -0.016812 2 0 0
2069 0.020448 0.002547 4 0 0
2081 -0.013887 -0.016711 2 0 1
2086 -0.013683 -0.016103 2 0 0
2093 0.000989 0.004462 9 0 0
2104 -0.013854 -0.024562 2 0 0
2116 -0.013608 -0.023812 2 0 0
2121 -0.013313 -0.015265 2 0 0
2128 -0.013623 -0.016086 2 0 1
2139 -0.013655 -0.015837 2 0 0
2143 -0.013409 -0.015181 2 0 0
2150 0.000744 0.009293 7 0 0
2160 0.000754 0.005294 9 0 0
2164 0.000342 0.005658 9 0 0
2171 0.000342 0.005657 9 0 0
2174 -0.012754 -0.020321 2 0 0
2187 -0.013265 -0.015955 2 0 0
2199 -0.012863 -0.015200 2 0 0
2211 -0.013091 -0.015434 2 0 0
2222 -0.013086 -0.019506 2 0 0
2234 -0.013098 -0.015391 2 0 1
2245 -0.012737 -0.014558 2 0 0
2256 -0.012932 -0.014784 2 0 0
2266 0.010012 0.007285 4 1 1
2278 0.001160 0.010706 7 0 0
2289 0.001154 0.011993 7 0 0
2300 0.001086 0.011277 7 0 0
2310 -0.012539 -0.020676 2 0 0
2323 -0.013440 -0.016125 2 0 0
2335 -0.013042 -0.015230 2 0 1
2347 -0.012723 -0.020128 2 0 0
2359 -0.013165 -0.015225 2 0 0
2370 -0.012873 -0.014607 2 0 0
2381 -0.012894 -0.014347 2 0 0
2396 0.011770 0.037116 0 0 0
2408 0.001803 0.006524 9 0 0
2419 0.003555 0.005189 9 0 0
2432 0.012356 0.036742 0 0 1
2444 0.003556 0.005189 9 0 0
2456 0.012096 0.036764 0 0 0
2465 0.012096 0.036764 0 0 0
2477 0.012359 0.036734 0 0 0
2483 0.009699 0.009073 4 0 1
2495 -0.032794 -0.002447 5 0 0
2506 0.008434 0.009632 4 0 0
2517 -0.030238 -0.014004 6 0 0
2527 -0.013233 -0.016918 2 0 1
2539 0.001783 0.007435 9 0 0
2550 -0.012898 -0.015989 2 0 1
2561 0.000892 0.009686 7 0 0
2571 -0.033342 -0.002261 5 0 0
2581 -0.030238 -0.014004 6 0 0
2590 -0.013002 -0.016566 2 0 0
2601 0.001800 0.007762 9 0 0
2611 -0.012580 -0.015393 2 0 1
2621 0.000734 0.010425 7 0 1
2630 -0.012288 -0.013956 2 0 0
2642 -0.012473 -0.013866 2 0 0
2653 -0.011966 -0.013412 2 0 0
2664 -0.012201 -0.013054 2 0 1
2681 -0.012803 -0.021427 2 0 0
2685 -0.012960 -0.014496 2 0 0
2692 -0.012960 -0.014496 2 0 0
2695 -0.012141 -0.013539 2 0 0
2706 -0.012273 -0.013506 2 0 0
2716 -0.011610 -0.013184 2 0 0
2726 -0.011730 -0.013073 2 0 0
2735 -0.013086 -0.015278 2 0 0
2747 -0.012679 -0.014162 2 0 0
2758 -0.012978 -0.014878 2 0 0
2769 -0.012981 -0.014676 2 0 0
2779 -0.012896 -0.014715 2 0 0
2789 -0.014880 -0.019978 2 0 1
2798 0.021363 0.026925 11 1 1
2809 -0.025224 0.023132 3 0 1
2819 -0.017763 0.022519 10 1 1
2828 0.002082 0.006703 9 0 0
2839 0.010742 0.037670 0 0 0
2849 0.001540 0.007928 9 0 1
2859 0.010414 0.037961 0 0 0
2868 -0.025599 0.023571 3 0 0
2877 -0.017460 0.023521 10 0 1
2885 0.002043 0.007099 9 0 0
2895 0.010540 0.037922 0 0 0
2904 0.001469 0.010846 7 0 0
2913 0.010559 0.037505 0 0 0
2921 0.007614 0.009507 4 0 0
